id,siteID,year,icemoved,timemoved,breakup,Impact Based Flood Severity,firstboat,unsafeman,unsafeveh,typeveh,lastice,remarks,Initial Forecast Start Date,Initial Forecast End Date,qualityFlag,internalNotes
4695,Koyukuk River at Allakaket,1975,1975-05-10,,,,1975-05-12,1975-05-07,1975-05-03,snowmachine,1975-05-15,\r,,,,
4881,Kwiguk Pass at Emmonak,1975,1975-05-26,,,,1975-05-21,1975-05-21,1975-05-19,Skidoo,1975-05-29,\r,,,,
4895,Lake Minchumina at Lake Minchumina,1975,1975-05-14,,,,1975-05-23,1975-05-13,1975-05-10,snowmachine,1975-05-26,\r,,,,
4972,Walker Slough nr Holy Cross,1975,1975-05-14,,,,1975-05-26,1975-05-13,1975-05-12,snowmachine,1975-05-27,\r,,,,
5091,Yukon River at Beaver,1975,1975-05-13,,,,1975-05-18,1975-05-10,1975-05-09,snowmachine,1975-05-19,\r,,,,
5327,Yukon River at Eagle,1975,1975-05-09,09:30am,1975-05-09,,1975-05-17,1975-05-03,1975-05-01,snowmachine,1975-05-16,\r,,,,
5518,Yukon River at Grayling,1975,1975-05-16,,,,1975-05-22,1975-05-10,1975-05-06,snowmachine,1975-05-24,High water and flooded half of village.  Due to ic,,,,
5637,Yukon River at Holy Cross,1975,1975-05-16,,,,1975-05-26,1975-05-14,1975-05-12,snowmachine,1975-05-27,Can use boat on 15th to 22nd because of ice jam ab,,,,
5681,Yukon River at Kaltag,1975,1975-05-14,1:31pm,1975-05-14,,1975-05-19,1975-05-12,1975-05-10,snowmachine,1975-05-22,Wind and rain seemed to cause rapid deterioration,,,,
5760,Yukon River at Marshall,1975,1975-05-25,,,,1975-05-27,1975-05-14,1975-05-08,snowmachine,1975-05-26,Ice run for about 3 1-2 hours then thinned out. Wa,,,,
5958,Yukon River at Rampart,1975,1975-05-14,,,,1975-05-19,1975-05-12,1975-05-09,snowmachine,1975-05-18,\r,,,,
5995,Yukon River at Ruby,1975,1975-05-12,08:30pm,1975-05-12,,1975-05-20,1975-05-10,1975-05-05,Snowmachine,1975-05-20,\r,,,,
6039,Yukon River at Russian Mission,1975,1975-05-17,,,,1975-05-25,1975-05-14,1975-05-12,Snowmachine,1975-05-26,\r,,,,
6086,Yukon River at Stevens Village,1975,,,1975-05-14,,,,,,1975-05-19,\r,,,,
6280,Yukon River at Dawson,1975,,,1975-05-09,,,,,,,,,,,
6516,Yukon River at Galena,1975,,,1975-05-14,,,,,,,,,,,
6527,Koyukuk River at Bettles,1975,,,1975-05-10,,,,,,,,,,,
6533,Koyukuk River at Hughes,1975,,,1975-05-12,,,,,,,,,,,
100,Beaufort Sea at Barter Island,1974,1974-07-26,,,,1974-08-04,1974-06-08,1974-07-10,5 ton truck,,,,,,
226,Camden Bay at Camden Bay,1974,1974-07-26,,,,1974-08-04,1974-07-01,1974-06-01,5 Ton truck,,,,,,
300,Freshwater Lake at Barter Island,1974,,,,,1974-07-30,,,,,,,,,
359,Kobuk River at Ambler,1974,1974-05-21,,,,1974-05-24,1974-05-11,1974-05-08,Sno-go,1974-05-26,,,,,
407,Kobuk River at Kiana,1974,1974-05-19,,,,1974-05-22,1974-05-17,1974-05-11,Snowmobile,1974-05-24,,,,,
448,Kobuk River at Kobuk,1974,1974-05-18,20:05pm,1974-05-18,,1974-05-21,1974-05-12,1974-05-10,Snowmachine,1974-05-22,5-18 ice moved 20:05 to 20:45 5-19 ice moved 20:05,,,,
585,Kotzebue Sound at Kotzebue,1974,1974-05-28,,,,1974-05-30,1974-05-27,1974-05-16,Snowmachine,1974-06-21,,,,,
659,Lake Troutman nr Gambell,1974,,,,,,1974-06-07,1974-06-04,,1974-06-06,,,,,
857,Selawik River at Selawik,1974,1974-05-31,,,,1974-05-31,1974-05-28,1974-05-27,Snowmobile,1974-06-01,,,,,
928,Squirrel River nr Kiana,1974,1974-05-19,,,,1974-05-22,1974-05-16,1974-05-10,Snowmobile,1974-05-25,,,,,
962,Unalakleet River at Unalakleet,1974,1974-05-06,,,,,,,,1974-05-15,,,,,
1072,Sagavanirktok River at Prudhoe,1974,,,1974-05-27,,,,,,,,,,,
1094,Chistochina River nr Mankomen Lake,1974,1974-04-16,,,,1974-04-23,1974-04-15,1974-04-15,Snowmachine,1974-04-23,,,,,
1180,Copper River at Gakona,1974,,,,,,1974-04-11,1974-04-01,Pickup,1974-05-21,Gradually rotted out.,,,,
1227,Gakona River at Gakona,1974,,,,,,1974-03-26,1974-03-23,pickup,1974-05-15,Gradually rotted out.,,,,
1260,Gulkana River nr Gakona,1974,1974-04-20,,,,1974-05-15,1974-04-15,1974-04-15,Snow sleds,1974-05-15,,,,,
1306,Mankomen Lake at Mankomen Lake,1974,1974-05-22,,,,1974-05-23,1974-06-05,1974-05-28,Airplane,1974-06-29,,,,,
1340,Snowshoe Lake at Snowshoe Lake,1974,1974-05-19,,,,1974-05-24,1974-05-18,1974-05-12,Light aircraft on skis,1974-05-28,Most easygoing breakup we have witnessed in more t,,,,
1488,Beluga Lake at Homer,1974,,,,,1974-05-01,1974-04-10,1974-03-23,Plane,1974-05-05,,,,,
1508,Campbell Creek at Lake Otis Pky. Anchorage,1974,1974-05-02,,,,1974-05-12,1974-04-13,1974-04-03,Snowmachine,1974-05-12,,,,,
1585,Daniels Lake nr Kenai,1974,1974-04-26,,,,1974-05-07,1974-03-30,1974-03-30,Snowmachine,1974-05-10,,,,,
1612,Echo Lake nr Palmer,1974,1974-04-03,,,,,1974-04-10,,,1974-04-28,,,,,
1678,Kasilof River at Kasilof,1974,1974-04-13,,,,1974-04-19,1974-03-24,1974-03-18,Jeep,1974-05-06,Ice in river is melting only - no chunks are float,,,,
1684,Kenai Lake at Cooper Landing,1974,1974-04-20,,,,1974-05-04,,1974-03-21,Snowmachine,1974-05-03,,,,,
1687,Kenai River at Cooper Landing,1974,,,,,1974-03-21,,,never safe,1974-03-20,,,,,
1704,Kenai River at Kenai,1974,1974-04-16,,,,1974-05-01,,,Never safe,1974-05-11,,,,,
1748,Kenai River at Sterling,1974,1974-03-30,,,,1974-04-13,1974-03-30,1974-03-28,Cars and  snowmobiles,1974-04-15,,,,,
1752,Knik River nr Eklutna Lake,1974,1974-04-18,,,,1974-04-22,1974-03-25,1974-03-23,All,1974-05-02,,,,,
1772,Lake Hood-Spenard at Anchorage,1974,,,,,,,1974-04-02,Aircraft,1974-05-04,,,,,
1797,Little Susitna River nr Palmer,1974,,,,,,1974-04-15,,never safe for vehicle,1974-05-12,,,,,
1865,Montana Creek at Parks Highway,1974,1974-04-25,,,,,1974-04-15,,n-a,1974-04-30,The water level this year is very low and the ice,,,,
1896,Moose River at Sterling,1974,1974-04-17,,,,1974-04-24,1974-04-15,1974-04-11,Cars and snowmobiles,1974-04-26,,,,,
1920,Puntilla Lake at Puntilla,1974,1974-05-27,,,,1974-05-29,1974-05-21,1974-05-15,Aircraft,1974-05-31,,,,,
2038,Susitna River at Talkeetna,1974,1974-04-25,,,,1974-05-11,1974-04-15,1974-04-03,Snowmachine,1974-05-18,,,,,
2059,Talkeetna River at Talkeetna,1974,1974-04-29,,,,1974-05-12,1974-04-15,1974-04-03,Snowmachine,1974-05-18,,,,,
2109,Willow Creek at Willow,1974,1974-04-20,,,,1974-05-11,1974-04-18,1974-04-09,Any vehicle,1974-05-11,,,,,
2127,Willow Lake at Willow,1974,1974-03-26,,,,1974-05-01,1974-04-13,1974-04-02,Snowmachine,1974-05-05,,,,,
2396,Aniak River at Aniak,1974,1974-04-21,,1974-04-21,,1974-04-21,1974-04-01,1974-03-23,Snowmachine,,,,,,
2436,Lake Clark at Port Alsworth,1974,,,,,1974-05-09,1974-04-24,1974-04-22,Small planes\, snowmobiles,1974-05-14,,,,,
2460,Crooked Creek at Crooked Creek,1974,1974-04-26,,,,1974-05-04,1974-04-22,1974-04-18,Snowmachine,1974-05-02,,,,,
2480,Eek Lake at Eek,1974,1974-05-15,,,,,1974-05-09,1974-04-28,All wheeled aircrafts,1974-05-24,,,,,
2499,Eek River at Eek,1974,1974-05-04,,,,1974-05-07,1974-05-01,1974-04-28,All aircraft,1974-05-11,,,,,
2621,Intricate Bay at Pope Vannoy Landing,1974,,,,,1974-05-21,1974-05-06,1974-05-01,Plane,1974-05-24,,,,,
2641,Johnson River at Nunapitchuk,1974,1974-05-08,,,,1974-05-10,1974-05-07,1974-05-08,Snowmachine,1974-05-20,,,,,
2668,Kanektok River at Quinhagak,1974,1974-04-21,,,,1974-04-27,1974-05-15,1974-03-31,All types,1974-04-30,,,,,
2687,Kuskokwim Bay at Quinhagak,1974,1974-03-23,,,,1974-04-28,1974-04-20,1974-03-31,All,,,,,,
2751,Kuskokwim River at Aniak,1974,1974-05-01,,,,1974-05-04,1974-04-28,1974-04-17,Snowmachine,1974-05-14,,,,,
2825,Kuskokwim River at Bethel,1974,1974-05-04,,1974-05-07,,1974-05-10,1974-05-04,1974-05-01,Any type,1974-05-12,,,,,
2889,Kuskokwim River at Crooked Creek,1974,1974-04-30,,,,1974-05-08,1974-04-28,1974-04-26,Snowmachine\, planes,1974-05-07,,,,,
2934,Kuskokwim River at Kalskag,1974,1974-05-06,,,,1974-05-10,1974-05-01,1974-04-28,All Kinds,1974-05-14,,,,,
2989,Kuskokwim River at McGrath,1974,1974-04-30,,,,1974-05-08,1974-05-01,1974-04-30,Jeep,1974-05-12,5-28-74 Patch open water(east end of runway) river,,,,
3092,Kuskokwim River at Oscarville,1974,1974-05-05,,,,1974-05-10,1974-04-30,1974-04-27,Snowmachine\, cars,1974-05-11,,,,,
3099,Kuskokwim River at Quinhagak,1974,1974-04-23,,,,1974-04-28,1974-04-20,1974-03-31,,,,,,,
3264,Naknek River at King Salmon,1974,1974-04-01,,,,1974-04-05,1974-03-25,1974-03-25,,1974-05-01,,,,,
3346,Nushagak River at Ekwok,1974,1974-04-27,,,,1974-05-03,1974-04-24,1974-04-27,Snow-go,1974-05-03,,,,,
3356,Nushagak River at Koliganek,1974,1974-04-24,,,,,1974-04-19,1974-04-19,,1974-04-27,,,,,
3714,Cantwell River nr Cantwell,1974,1974-05-21,,1974-05-21,,1974-05-10,,1974-06-01,Cantwell stream or Nenana,,,,,,
3839,Chena River at Fairbanks,1974,1974-04-15,,1974-04-22,,1974-04-01,1974-04-01,,2000-4-30,,,,,,
3979,Mirror Lake nr Cantwell,1974,1974-05-25,,1974-06-10,,1974-06-01,1974-05-20,,2000-6-7,,,,,,
4017,Nenana River at McKinley Park,1974,1974-04-10,,1974-05-31,,1974-03-20,1974-03-19,,2000-5-25,,,,,,
4066,Summit Lake nr Cantwell,1974,1974-05-28,,1974-06-10,,1974-06-05,1974-05-23,,2000-6-7,,,,,,
4216,Tanana River at Nenana,1974,,2000-44pm,1974-05-06,,,,,,,,,,,
4283,Tanana River at Tanana,1974,1974-05-08,,1974-05-16,,1974-05-01,1974-04-25,,2000-5-16,,,,,,
4489,Alatna River at Allakaket,1974,1974-05-14,,,,1974-05-18,1974-05-07,1974-05-01,snowmachine,1974-05-18,\r,,,,
4509,Andreafsky River at St. Marys,1974,1974-05-10,,,,1974-05-11,1974-05-08,1974-05-06,snowmachine,1974-05-12,Prevailing NNE winds and temps down 28 deg. averag,,,,
4523,Anvik River at Anvik,1974,1974-05-09,,,,1974-05-13,1974-05-09,1974-05-07,snowmachine,1974-05-14,We have had a very quiet breakup and low water thi,,,,
4694,Koyukuk River at Allakaket,1974,1974-05-14,,,,1974-05-18,1974-05-07,1974-05-01,snowmachine,1974-05-18,\r,,,,
4755,Koyukuk River at Bettles,1974,1974-05-12,,,,1974-05-17,1974-05-12,1974-05-11,Any kind,1974-05-17,\r,,,,
4960,Sucker River nr Fort Yukon,1974,1974-05-17,,,,1974-05-25,1974-05-09,1974-05-01,All,1974-05-25,\r,,,,
4971,Walker Slough nr Holy Cross,1974,1974-05-21,,,,1974-05-21,1974-05-08,1974-05-05,snowmachine,1974-05-24,\r,,,,
5047,Yukon River at Anvik,1974,1974-05-14,,,,1974-05-21,1974-05-09,1974-05-09,snowmachine,1974-05-23,\r,,,,
5090,Yukon River at Beaver,1974,1974-05-19,,,,1974-05-21,1974-05-08,1974-05-08,snowmachine,1974-05-23,\r,,,,
5326,Yukon River at Eagle,1974,1974-05-10,,1974-05-12,,1974-05-20,1974-05-02,1974-04-30,snowmachine,1974-05-19,\r,,,,
5353,Yukon River nr Emmonak,1974,1974-05-18,,,,1974-05-23,1974-05-17,1974-05-16,snowmachine,1974-05-23,\r,,,,
5438,Yukon River at Fort Yukon,1974,1974-05-17,,,,1974-05-21,1974-05-09,1974-05-01,All,1974-05-25,\r,,,,
5517,Yukon River at Grayling,1974,1974-05-15,,,,1974-05-20,1974-05-06,1974-05-06,snowmachine,1974-05-22,\r,,,,
5636,Yukon River at Holy Cross,1974,1974-05-12,,,,1974-05-21,1974-05-08,1974-05-05,snowmachine,1974-05-24,This is the lowest ice breakup I have seen.\r,,,,
5680,Yukon River at Kaltag,1974,1974-05-13,1:30am,1974-05-15,,1974-05-22,1974-05-10,1974-05-05,snowmachine,1974-05-25,\r,,,,
5759,Yukon River at Marshall,1974,1974-05-06,,,,1974-05-20,1974-05-02,1974-04-29,snowmachine,1974-05-24,Ice run very erratic\, river clear at times for sev,,,,
5891,Yukon River at Pilot Station,1974,1974-05-14,,,,1974-05-21,1974-05-12,1974-05-10,snowmachine,1974-05-25,Not much of a breakup this year.  The water is way,,,,
5957,Yukon River at Rampart,1974,,,,,1974-05-24,1974-05-09,1974-05-06,,,\r,,,,
5994,Yukon River at Ruby,1974,1974-05-12,,,,1974-05-22,1974-05-06,1974-05-01,Snowmachine,1974-05-22,\r,,,,
6038,Yukon River at Russian Mission,1974,1974-05-12,,,,1974-05-22,1974-05-09,1974-05-03,Snowmachines,1974-05-23,\r,,,,
6085,Yukon River at Stevens Village,1974,,,,,,,,,1974-05-27,\r,,,,
6164,Yukon River at Tanana,1974,1974-05-10,,,,1974-05-24,1974-05-02,1974-04-28,Snowmachine,,\r,,,,
6281,Yukon River at Dawson,1974,,,1974-05-10,,,,,,,,,,,
6515,Yukon River at Galena,1974,,,1974-05-17,,,,,,,All ice out by 05/18.,,,,
99,Beaufort Sea at Barter Island,1973,1973-06-01,,,,1973-07-03,1973-06-29,1973-05-31,10 ton truck,,,,,,
225,Camden Bay at Camden Bay,1973,1973-06-20,,,,1973-06-27,1973-06-10,1973-05-15,10 ton truck,1973-07-18,,,,,
299,Freshwater Lake at Barter Island,1973,,,,,1973-07-10,,,,,,,,,
358,Kobuk River at Ambler,1973,1973-05-23,,,,1973-05-28,1973-05-20,1973-05-18,Snow-go,1973-05-28,,,,,
406,Kobuk River at Kiana,1973,1973-05-23,,,,1973-05-28,1973-05-20,1973-05-16,Snowmobile,1973-05-30,,,,,
447,Kobuk River at Kobuk,1973,1973-05-20,06:00pm,1973-05-20,,1973-05-22,1973-05-19,1973-05-16,Anytype,1973-05-25,,,,,
584,Kotzebue Sound at Kotzebue,1973,1973-05-30,,,,1973-06-01,1973-05-28,1973-05-26,Snowmachine,1973-06-21,,,,,
722,Norton Sound at Elim,1973,1973-05-25,,,,1973-05-28,1973-05-28,1973-05-28,Snowmachine,,,,,,
803,Quinahak River nr Elim,1973,1973-05-25,,,,1973-05-25,1973-05-25,1973-05-25,Snowmachine,,,,,,
856,Selawik River at Selawik,1973,1973-05-30,,,,1973-05-30,1973-05-29,1973-05-26,Snowmobile,1973-05-31,,,,,
927,Squirrel River nr Kiana,1973,1973-05-21,,,,1973-05-27,1973-05-18,1973-05-16,Snowmobile,1973-05-30,,,,,
1071,Sagavanirktok River at Prudhoe,1973,,,1973-05-31,,,,,,,,,,,
1093,Chistochina River nr Mankomen Lake,1973,1973-04-15,,,,1973-04-16,1973-04-13,1973-04-11,Ski-doo,1973-04-22,,,,,
1179,Copper River at Gakona,1973,1973-05-13,,,,,1973-04-17,1973-03-30,Pickup 1-2 ton,1973-05-21,,,,,
1189,Copper River nr Gulkana,1973,1973-05-05,,,,,1973-05-05,1973-05-01,Snowsleds,,,,,,
1226,Gakona River at Gakona,1973,1973-05-13,,,,,1973-04-13,1973-03-27,Pickup 1-2 ton,1973-05-19,,,,,
1259,Gulkana River nr Gakona,1973,1973-05-12,,,,1973-05-15,1973-05-08,1973-05-08,Snowsled,1973-05-15,,,,,
1305,Mankomen Lake at Mankomen Lake,1973,1973-05-27,,,,1973-05-29,1973-05-25,1973-05-18,Skidoo,1973-06-24,,,,,
1330,Slana River nr Slana,1973,1973-04-23,,,,1973-05-13,,,,1973-05-13,,,,,
1339,Snowshoe Lake at Snowshoe Lake,1973,1973-05-18,,,,1973-05-20,1973-05-16,1973-05-10,Light Ski aircraft,1973-05-21,Much wind from Southerly dirctions for period of a,,,,
1584,Daniels Lake nr Kenai,1973,1973-05-06,,,,1973-05-08,1973-04-20,1973-04-20,Snowmachine,1973-05-08,,,,,
1611,Echo Lake nr Palmer,1973,,,,,,1973-04-27,,,1973-05-05,,,,,
1639,Eklutna Lake nr Eklutna,1973,1973-04-20,,,,,1973-04-20,1973-04-20,car,,,,,,
1677,Kasilof River at Kasilof,1973,1973-04-09,,,,1973-04-17,1973-04-05,,,1973-04-23,,,,,
1683,Kenai Lake at Cooper Landing,1973,1973-05-06,,,,1973-05-14,1973-04-20,1973-04-01,Snowmachine,1973-05-14,,,,,
1703,Kenai River at Kenai,1973,1973-04-10,,,,1973-04-15,,,Never safe,1973-05-15,,,,,
1747,Kenai River at Sterling,1973,1973-03-28,,,,1973-05-01,1973-03-28,,,1973-05-01,,,,,
1771,Lake Hood-Spenard at Anchorage,1973,,,,,1973-05-04,1973-04-27,1973-04-23,Aircraft,1973-05-05,,,,,
1858,Matanuska River at Palmer,1973,,,1973-03-22,,,,,,,,,,,
1895,Moose River at Sterling,1973,1973-04-04,,,,1973-04-22,1973-04-01,1973-04-01,,1973-04-23,,,,,
1919,Puntilla Lake at Puntilla,1973,1973-05-28,,,,1973-06-04,1973-05-27,1973-05-10,Aircraft,1973-06-06,,,,,
2037,Susitna River at Talkeetna,1973,,,,,1973-05-17,1973-04-15,1973-04-07,Snowmachine,1973-05-11,,,,,
2058,Talkeetna River at Talkeetna,1973,,,,,1973-05-17,1973-04-01,1973-04-01,Snowmachine,1973-05-11,,,,,
2071,Trail Lake nr Moose Pass (Lower Lake),1973,1973-05-05,,,,1973-05-12,1973-04-15,1973-04-05,Snowmachine and planes,1973-05-13,,,,,
2074,Trail Lake at Moose Pass (Upper Lake),1973,1973-05-10,,,,1973-05-15,1973-04-20,1973-04-01,Snowmachine\, Planes,1973-05-14,,,,,
2108,Willow Creek at Willow,1973,1973-04-24,,,,1973-05-16,1973-04-20,1973-04-15,Snowmobile and auto,1973-05-20,,,,,
2126,Willow Lake at Willow,1973,1973-05-15,,,,1973-05-19,1973-04-20,1973-04-15,Auto and Snomobile,1973-05-26,,,,,
2273,Susitna River at Sunshine,1973,,,1973-04-30,,,,,,,,,,,
2363,Aleknagik Lake at Aleknagik,1973,1973-06-02,,,,1973-06-05,1973-05-20,1973-05-13,Snogo,1973-06-07,,,,,
2435,Lake Clark at Port Alsworth,1973,1973-05-14,,,,1973-05-16,1973-05-02,1973-04-28,Snowmachines,1973-05-17,5-27-73 Neatest breakup yet.  No ice shifting back,,,,
2479,Eek Lake at Eek,1973,,,,,,1973-05-17,1973-05-12,Aircraft 180,1973-05-23,,,,,
2498,Eek River at Eek,1973,1973-05-17,,,,1973-05-17,1973-05-13,1973-05-04,Aircraft 180,1973-05-21,,,,,
2531,Egegik River at Egegik,1973,1973-04-08,,,,1973-04-13,1973-03-23,1973-03-09,Snowmachine,1973-04-27,,,,,
2620,Intricate Bay at Pope Vannoy Landing,1973,,,,,1973-05-22,1973-05-14,1973-05-05,Airplane,1973-05-22,,,,,
2640,Johnson River at Nunapitchuk,1973,1973-05-18,,,,1973-05-20,1973-05-17,1973-05-14,Airplane,1973-05-29,,,,,
2667,Kanektok River at Quinhagak,1973,,,,,1973-04-30,1973-04-30,1973-04-22,All types,1973-05-06,,,,,
2686,Kuskokwim Bay at Quinhagak,1973,1973-04-01,,,,1973-04-22,1973-04-08,1973-04-08,All types,1973-05-10,,,,,
2715,Kuskokwim River at Akiak,1973,1973-05-16,,,,1973-05-20,1973-05-12,1973-05-09,Snow go,1973-05-19,,,,,
2824,Kuskokwim River at Bethel,1973,1973-05-12,,1973-05-14,,1973-05-20,1973-05-09,1973-05-07,Cars\,truck\, airplanes,1973-05-20,,,,,
2888,Kuskokwim River at Crooked Creek,1973,1973-05-07,,,,1973-05-15,1973-05-07,1973-05-06,Planes,1973-05-15,,,,,
2933,Kuskokwim River at Kalskag,1973,1973-05-10,,,,1973-05-17,1973-05-06,1973-05-03,Snowmobile,1973-05-19,,,,,
2988,Kuskokwim River at McGrath,1973,,,1973-05-06,,,,,,,,,,,
3030,Kuskokwim River at Medfra,1973,1973-05-06,,,,1973-05-06,1973-05-05,1973-05-04,Plane,1973-05-12,,,,,
3069,Kuskokwim River at Nikolai,1973,1973-04-25,,,,,1973-04-10,1973-04-10,Snomobile,1973-04-26,,,,,
3091,Kuskokwim River at Oscarville,1973,1973-05-14,,,,1973-05-20,1973-05-11,1973-05-11,All kinds,1973-05-20,,,,,
3098,Kuskokwim River at Quinhagak,1973,1973-04-01,,,,1973-04-22,,1973-04-08,,1973-05-10,,,,,
3263,Naknek River at King Salmon,1973,1973-03-30,,,,1973-04-02,1973-03-28,1973-03-28,3-4ton truck,1973-05-01,,,,,
3345,Nushagak River at Ekwok,1973,1973-05-04,,,,1973-05-16,1973-05-03,1973-05-02,Snogo,1973-05-15,,,,,
3355,Nushagak River at Koliganek,1973,1973-05-04,,,,1973-05-06,1973-04-26,1973-04-26,,1973-05-06,,,,,
3369,Packer Lake nr Ugashik,1973,,,,,,,1973-04-10,last plane to land.,,,,,,
3467,Ugashik River at Ugashik,1973,1973-04-29,,,,1973-04-30,1973-04-15,1973-04-01,,1973-05-03,,,,,
3485,Wood River at Aleknagik,1973,1973-05-10,,,,1973-05-13,,,,,,,,,
3667,Kuskokwim River at Aniak,1973,,,1973-05-17,,,,,,,,,,,
3838,Chena River at Fairbanks,1973,1973-04-01,,1973-05-01,,1973-04-01,1973-03-23,,2000-5-3,,,,,,
3880,Chisana River at Northway,1973,1973-04-01,,1973-04-22,,1973-04-01,1973-03-19,,2000-4-26,,,,,,
3978,Mirror Lake nr Cantwell,1973,,2000-6-5,1973-05-03,,1973-05-25,,1973-06-08,,,,,,,
4009,Nabesna River nr Northway,1973,1973-04-01,,1973-04-22,,1973-04-01,1973-03-19,,2000-4-26,,,,,,
4037,Nenana River at McKinley Park,1973,1973-04-10,,,,,,,,,,,,,
4065,Summit Lake nr Cantwell,1973,,2000-6-10,,,1973-06-12,,,,,,,,,
4075,Tanana River at Big Delta,1973,1973-03-18,,1973-04-11,,,1973-04-09,,,,,,,,
4215,Tanana River at Nenana,1973,,2000-59am,1973-05-04,,,,,,,,,,,
4338,Twin Lakes nr Nabesna,1973,,2000-5-13,1973-05-20,,,1973-05-29,,,,,,,,
4488,Alatna River at Allakaket,1973,1973-05-11,,,,1973-05-19,1973-05-07,1973-05-02,snowmachine,1973-05-19,\r,,,,
4508,Andreafsky River at St. Marys,1973,1973-05-16,,,,1973-05-19,1973-05-12,1973-05-11,snowmachine,1973-05-19,Andreafski river ice breaks up at least one week b,,,,
4522,Anvik River at Anvik,1973,1973-05-14,,,,1973-05-16,1973-05-09,1973-05-09,snowmachine,1973-05-20,\r,,,,
4530,Black River at Chalkyitsik,1973,1973-05-09,,,,1973-05-13,1973-05-05,1973-04-30,,1973-05-12,\r,,,,
4549,Chandalar River at Venetie,1973,1973-05-09,,,,1973-05-17,1973-05-01,1973-04-22,snowmachine,1973-05-12,\r,,,,
4693,Koyukuk River at Allakaket,1973,1973-05-11,,,,1973-05-17,1973-05-07,1973-05-02,snowmachine,1973-05-15,\r,,,,
4880,Kwiguk Pass at Emmonak,1973,1973-05-21,,,,1973-05-24,1973-05-18,1973-05-18,Ski-doo,1973-05-24,\r,,,,
4894,Lake Minchumina at Lake Minchumina,1973,1973-05-20,,,,1973-05-25,1973-05-15,1973-05-01,Ski-doo,1973-05-26,\r,,,,
4959,Sucker River nr Fort Yukon,1973,1973-05-08,,,,1973-05-10,1973-05-01,1973-05-01,Any,1973-05-10,\r,,,,
4970,Walker Slough nr Holy Cross,1973,1973-05-14,,,,1973-05-21,1973-05-12,1973-05-09,snowmachine,1973-05-23,\r,,,,
5046,Yukon River at Anvik,1973,1973-05-06,,,,1973-05-16,1973-05-09,1973-05-09,snowmachine,1973-05-18,We've had a very quiet breakup this year with real,,,,
5089,Yukon River at Beaver,1973,1973-05-12,09:00am,,,,1973-05-02,1973-04-22,snowmachine,1973-05-17,Side streams providing overflow 4-16-5-2. 6-1 6-10,,,,
5134,Yukon River at Circle,1973,1973-05-08,,,,1973-05-19,1973-04-25,1973-04-25,snowmachine,1973-05-23,\r,,,,
5251,Yukon River at Dawson,1973,,,1973-05-08,,,,,,,\r,,,,
5325,Yukon River at Eagle,1973,1973-05-08,14:00pm,1973-05-08,,1973-05-17,1973-05-05,1973-05-04,snowmachine,1973-05-18,5-5 Water beginning to rise running at sides. 5-6,,,,
5437,Yukon River at Fort Yukon,1973,1973-05-10,,,,1973-05-16,1973-05-01,1973-05-01,Any,1973-05-16,\r,,,,
5516,Yukon River at Grayling,1973,1973-05-16,,,,1973-05-20,1973-05-09,1973-05-07,snowmachine,1973-05-22,Water began running in Grayling Creek 5-12 at 11am,,,,
5635,Yukon River at Holy Cross,1973,1973-05-16,,,,1973-05-21,1973-05-12,1973-05-09,snowmachine,1973-05-23,\r,,,,
5679,Yukon River at Kaltag,1973,1973-05-15,05:20pm,1973-05-15,,1973-05-26,,,,,\r,,,,
5758,Yukon River at Marshall,1973,1973-05-14,,,,1973-05-24,1973-05-09,1973-05-07,snowmachine,1973-05-24,Ice conditions very poor\, deteriorated very fast.\r,,,,
5890,Yukon River at Pilot Station,1973,1973-05-15,,,,1973-05-24,1973-05-13,1973-05-12,snowmachine,1973-05-26,\r,,,,
5993,Yukon River at Ruby,1973,1973-05-13,01:30am,,,1973-05-20,1973-05-06,1973-05-06,Snowmachine,1973-05-18,\r,,,,
6037,Yukon River at Russian Mission,1973,1973-05-17,,,,1973-05-24,1973-05-14,1973-05-10,Small aircraft\, snomach.,1973-05-25,\r,,,,
6084,Yukon River at Stevens Village,1973,1973-05-15,,,,,1973-05-08,1973-05-01,Snogo,1973-05-18,\r,,,,
6514,Yukon River at Galena,1973,,,1973-05-15,,,,,,,,,,,
6532,Koyukuk River at Hughes,1973,,,1973-05-10,,,,,,,,,,,
38,Arctic Ocean at Barrow,1972,1972-07-13,,,,1972-07-19,1972-07-06,1972-07-01,Snowmachine,,,,,,
98,Beaufort Sea at Barter Island,1972,1972-06-14,,,,1972-07-25,1972-06-08,1972-06-01,Snowmachine,,,,,,
117,Bering Sea at Gambell,1972,1972-01-01,,,,,1972-05-01,,continuosly moving,1972-05-13,,,,,
207,Bering Sea at Wales,1972,1972-06-10,,,,1972-06-17,1972-06-08,1972-05-25,,1972-06-24,,,,,
224,Camden Bay at Camden Bay,1972,1972-06-08,,,,1972-07-23,1972-06-01,1972-05-21,Truck,,,,,,
357,Kobuk River at Ambler,1972,1972-05-23,14:11pm,1972-05-23,,1972-05-26,1972-05-18,1972-05-10,Snowgo,1972-05-29,,,,,
405,Kobuk River at Kiana,1972,1972-05-22,,,,1972-05-29,1972-05-20,1972-05-18,Snowmo,1972-05-31,,,,,
446,Kobuk River at Kobuk,1972,1972-05-19,14:05pm,,,1972-05-23,1972-05-16,1972-05-13,anytype,1972-05-26,Ice move out 14:04 21st.   22nd ice jam from up ri,,,,
